Year,Bed,Bath,Sqft
2022,1,1,695
2022,1,2,675
2022,1,1,1050
2022,1,1,638
2022,1,1,692
2022,1,1,762
2022,1,1,740
2022,1,1,575
2022,1,1,675
2022,1,1,689
2022,1,1,675
2022,1,1,1111
2022,1,1,640
2022,1,1,1215
2022,1,1,973
2022,1,1,615
2022,1,1,760
2022,1,2,650
2022,1,2,614
2022,1,1,645
2022,1,1,660
2022,1,1,721
2022,1,1,770
2022,1,1,671
2022,1,1,671
2022,1,1,527
2022,1,1,796
2022,1,1,848
2022,1,2,733
2022,1,1,740
2022,2,2,980
2022,2,2,1870
2022,2,2,855
2022,2,2,1036
2022,2,2,880
2022,2,2,787
2022,2,2,828
2022,2,2,1264
2022,2,2,949
2022,2,2,1173
2022,2,2,1238
2022,2,2,1284
2022,2,2,1010
2022,2,2,1376
2022,2,3,1957
2022,2,2,825
2022,2,3,1039
2022,2,2,1071
2022,2,2,918
2022,2,3,1635
2022,2,2,791
2022,2,2,953
2022,2,2,945
2022,2,1,1152
2022,2,1,936
2022,2,3,1378
2022,2,2,1214
2022,2,3,2400
2022,2,1,968
2022,2,1,1055
2022,3,2,2081
2022,3,3,1519
2022,3,2,1774
2022,3,2,2059
2022,3,2,1225
2022,3,2,2174
2022,3,3,3291
2022,3,3,1174
2022,3,2,1900
2022,3,2,2107
2022,3,3,916
2022,3,4,4996
2022,3,2,2018
2022,3,2,2042
2022,3,5,1250
2022,3,2,1156
2022,3,2,1290
2022,3,3,1516
2022,3,4,1760
2022,3,2,2959
2022,3,3,1435
2022,3,4,3087
2022,3,2,1271
2022,3,3,1622
2022,3,1,1668
2022,3,2,1530
2022,3,2,3011
2022,3,2,1367
2022,3,3,1374
2022,3,3,1560
